Rank,Name (Full),Name,Year
17,Loop Capital Markets,Loop Capital Markets,2018
18,J.P. Morgan,J.P. Morgan,2018
19,Barclays Investment Bank (Americas),Barclays,2018
20,Guggenheim Securities,Guggenheim Securities,2018
21,Rothschild,Rothschild,2018
22,Qatalyst Partners,Qatalyst Partners,2018
23,Citi Institutional Clients Group,Citi,2018
24,Jefferies,Jefferies,2018
25,Allen & Company LLC,Allen & Company LLC,2018
26,Deutsche Bank AG,Deutsche Bank,2018
27,UBS,UBS,2018
28,Wells Fargo & Company,Wells Fargo,2018
29,RBC Capital Markets,RBC Capital Markets,2018
30,Macquarie Group (U.S.),Macquarie Group (U.S.),2018
31,Piper Jaffray Companies,Piper Jaffray Companies,2018
32,BMO Capital Markets,BMO Capital Markets,2018
33,Oppenheimer & Co.,Oppenheimer & Co.,2018
34,Nomura Holdings Inc.,Nomura Holdings Inc.,2018
35,BNP Paribas USA,BNP Paribas USA,2018
36,HSBC North America Holdings,HSBC,2018
37,Deloitte Corporate Finance LLC,Deloitte,2018
38,Royal Bank of Scotland Group plc,Royal Bank of Scotland Group plc,2018
39,Bank of New York Mellon Corporation,Bank of New York Mellon Corporation,2018
40,Tudor Pickering Holt & Co.,Tudor Pickering Holt & Co.,2018
41,Raymond James Financial Inc.,Raymond James Financial Inc.,2018
42,LionTree Advisors LLC,LionTree Advisors LLC,2018
43,Cantor Fitzgerald,Cantor Fitzgerald,2018
44,Brown Brothers Harriman,Brown Brothers Harriman,2018
45,EY LLP (Financial Advisory Services),EY LLP (Financial Advisory Services),2018
46,Societe Generale Corporate & Investment Banking,Societe Generale Corporate & Investment Banking,2018
47,Stifel Financial Corp.,Stifel Financial Corp.,2018
48,CIBC World Markets,CIBC World Markets,2018
49,Sandler O'Neill + Partners L.P.,Sandler O'Neill + Partners L.P.,2018
50,Credit Agricole Corporate and Investment Bank,Credit Agricole Corporate and Investment Bank,2018
1,Goldman Sachs & Co.,Goldman Sachs,2019
2,Evercore,Evercore,2019
3,Centerview Partners,Centerview Partners,2019
4,Morgan Stanley,Morgan Stanley,2019
5,Greenhill & Co. Inc.,Greenhill & Co. Inc.,2019
6,Moelis & Company,Moelis & Company,2019
7,Perella Weinberg Partners,Perella Weinberg Partners,2019
8,Guggenheim Securities,Guggenheim Securities,2019
9,Bank of America Corp.,Bank of America,2019
10,Lazard,Lazard,2019
11,Houlihan Lokey,Houlihan Lokey,2019
12,William Blair,William Blair,2019
13,PJ SOLOMON,PJ SOLOMON,2019
14,Harris Williams,Harris Williams,2019
15,Cowen Inc.,Cowen Inc.,2019
16,UBS,UBS,2019
17,Loop Capital Markets,Loop Capital Markets,2019
18,J.P. Morgan,J.P. Morgan,2019
19,Credit Suisse,Credit Suisse,2019
20,Barclays Investment Bank (Americas),Barclays,2019
21,PJT Partners,PJT Partners,2019
22,Citi Institutional Clients Group,Citi,2019
23,Jefferies,Jefferies,2019
24,Rothschild,Rothschild,2019
25,Allen & Company LLC,Allen & Company LLC,2019
26,Qatalyst Partners,Qatalyst Partners,2019
27,Deutsche Bank AG,Deutsche Bank,2019
28,RBC Capital Markets,RBC Capital Markets,2019
29,Wells Fargo & Company,Wells Fargo,2019
30,Macquarie Group (U.S.),Macquarie Group (U.S.),2019
31,Piper Jaffray Companies,Piper Jaffray Companies,2019
32,BMO Capital Markets,BMO Capital Markets,2019
33,Oppenheimer & Co.,Oppenheimer & Co.,2019
34,Baird,Baird,2019
35,Deloitte Corporate Finance LLC,Deloitte,2019
36,BNP Paribas USA,BNP Paribas USA,2019
37,Nomura Holdings Inc.,Nomura Holdings Inc.,2019
38,HSBC North America Holdings,HSBC,2019
39,Bank of New York Mellon Corporation,Bank of New York Mellon Corporation,2019
40,LionTree Advisors LLC,LionTree Advisors LLC,2019
41,Royal Bank of Scotland Group plc,Royal Bank of Scotland Group plc,2019
42,Cantor Fitzgerald,Cantor Fitzgerald,2019
43,Raymond James Financial Inc.,Raymond James Financial Inc.,2019
44,Tudor Pickering Holt & Co.,Tudor Pickering Holt & Co.,2019
45,Societe Generale Corporate & Investment Banking,Societe Generale Corporate & Investment Banking,2019
46,Stifel Financial Corp.,Stifel Financial Corp.,2019
47,EY LLP (Financial Advisory Services),EY LLP (Financial Advisory Services),2019
48,Brown Brothers Harriman,Brown Brothers Harriman,2019
49,CIBC World Markets,CIBC World Markets,2019
50,Lloyds Banking Group PLC,Lloyds Banking Group PLC,2019
1,Centerview Partners,Centerview Partners,2020
2,Evercore,Evercore,2020
3,Goldman Sachs & Co.,Goldman Sachs,2020
4,Morgan Stanley,Morgan Stanley,2020
5,Guggenheim Securities,Guggenheim Securities,2020
6,Bank of America Corp.,Bank of America,2020
7,Lazard,Lazard,2020
8,Perella Weinberg Partners,Perella Weinberg Partners,2020
9,PJT Partners,PJT Partners,2020
10,Moelis & Company,Moelis & Company,2020
11,Greenhill & Co. Inc.,Greenhill & Co. Inc.,2020
12,Houlihan Lokey,Houlihan Lokey,2020
13,William Blair,William Blair,2020
14,Harris Williams,Harris Williams,2020
15,PJ SOLOMON,PJ SOLOMON,2020
16,Cowen Inc.,Cowen Inc.,2020
17,Nomura Holdings Inc.,Nomura Holdings Inc.,2020
18,BMO Capital Markets,BMO Capital Markets,2020
19,UBS,UBS,2020
20,Loop Capital Markets,Loop Capital Markets,2020
21,J.P. Morgan,J.P. Morgan,2020
22,Credit Suisse,Credit Suisse,2020
23,Barclays Investment Bank (Americas),Barclays,2020
24,Citi Institutional Clients Group,Citi,2020
25,Rothschild,Rothschild,2020
26,Jefferies,Jefferies,2020
27,Qatalyst Partners,Qatalyst Partners,2020
28,Allen & Company LLC,Allen & Company LLC,2020
29,RBC Capital Markets,RBC Capital Markets,2020
30,Macquarie Group (U.S.),Macquarie Group (U.S.),2020
31,Piper Sandler,Piper Sandler,2020
32,Wells Fargo & Company,Wells Fargo,2020
33,Oppenheimer & Co.,Oppenheimer & Co.,2020
34,LionTree Advisors LLC,LionTree Advisors LLC,2020
35,BNP Paribas USA,BNP Paribas USA,2020
36,HSBC North America Holdings,HSBC,2020
37,Deutsche Bank AG,Deutsche Bank,2020
38,Bank of New York Mellon Corporation,Bank of New York Mellon Corporation,2020
39,Raymond James Financial Inc.,Raymond James Financial Inc.,2020
40,Tudor Pickering Holt & Co.,Tudor Pickering Holt & Co.,2020
41,Baird,Baird,2020
42,Royal Bank of Scotland Group plc,Royal Bank of Scotland Group plc,2020
43,Cantor Fitzgerald,Cantor Fitzgerald,2020
44,Societe Generale Corporate & Investment Banking,Societe Generale Corporate & Investment Banking,2020
45,Deloitte Corporate Finance LLC,Deloitte,2020
46,Stifel Financial Corp.,Stifel Financial Corp.,2020
47,EY LLP (Financial Advisory Services),EY LLP (Financial Advisory Services),2020
48,Brown Brothers Harriman,Brown Brothers Harriman,2020
49,Mizuho Financial Group (U.S.),Mizuho Financial Group (U.S.),2020
50,SunTrust Robinson Humphrey,SunTrust Robinson Humphrey,2020
